artist,song,rank,streams,country,week
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",1,40931264,gloabl,2018-10-26--2018-11-02
Bad Bunny,MIA (feat. Drake),2,31028604,gloabl,2018-10-26--2018-11-02
XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),3,26157297,gloabl,2018-10-26--2018-11-02
Marshmello,Happier,4,25798861,gloabl,2018-10-26--2018-11-02
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,5,25456872,gloabl,2018-10-26--2018-11-02
Lady Gaga,Shallow,6,23829692,gloabl,2018-10-26--2018-11-02
Kodak Black,ZEZE (feat. Travis Scott & Offset),7,22545638,gloabl,2018-10-26--2018-11-02
Halsey,Without Me,8,21343581,gloabl,2018-10-26--2018-11-02
Travis Scott,SICKO MODE,9,19785693,gloabl,2018-10-26--2018-11-02
Khalid,Better,10,18545621,gloabl,2018-10-26--2018-11-02
Calvin Harris,Promises (with Sam Smith),11,16412632,gloabl,2018-10-26--2018-11-02
Sheck Wes,Mo Bamba,12,16377580,gloabl,2018-10-26--2018-11-02
Billie Eilish,when the party's over,13,16327996,gloabl,2018-10-26--2018-11-02
benny blanco,Eastside (with Halsey & Khalid),14,16200573,gloabl,2018-10-26--2018-11-02
Dynoro,In My Mind,15,16072233,gloabl,2018-10-26--2018-11-02
Maroon 5,Girls Like You (feat. Cardi B),16,16001697,gloabl,2018-10-26--2018-11-02
Dua Lipa,Kiss and Make Up,17,15489478,gloabl,2018-10-26--2018-11-02
Juice WRLD,Lucid Dreams,18,15158419,gloabl,2018-10-26--2018-11-02
Kanye West,I Love It (& Lil Pump),19,14614181,gloabl,2018-10-26--2018-11-02
Lil Peep,Falling Down,20,14417280,gloabl,2018-10-26--2018-11-02
Dean Lewis,Be Alright,21,14378673,gloabl,2018-10-26--2018-11-02
Lil Baby,Drip Too Hard (Lil Baby & Gunna),22,14014226,gloabl,2018-10-26--2018-11-02
XXXTENTACION,SAD!,23,13942705,gloabl,2018-10-26--2018-11-02
XXXTENTACION,Moonlight,24,13489205,gloabl,2018-10-26--2018-11-02
Drake,In My Feelings,25,13359248,gloabl,2018-10-26--2018-11-02
Little Mix,Woman Like Me (feat. Nicki Minaj),26,13175052,gloabl,2018-10-26--2018-11-02
Post Malone,Better Now,27,13105905,gloabl,2018-10-26--2018-11-02
Ozuna,Vaina Loca,28,12683658,gloabl,2018-10-26--2018-11-02
Ava Max,Sweet but Psycho,29,12351628,gloabl,2018-10-26--2018-11-02
Rita Ora,Let You Love Me,30,12301571,gloabl,2018-10-26--2018-11-02
6ix9ine,BEBE,31,12120256,gloabl,2018-10-26--2018-11-02
Cardi B,I Like It,32,11805697,gloabl,2018-10-26--2018-11-02
Tyga,Taste (feat. Offset),33,11223383,gloabl,2018-10-26--2018-11-02
French Montana,No Stylist,34,10948929,gloabl,2018-10-26--2018-11-02
Imagine Dragons,Natural,35,10681871,gloabl,2018-10-26--2018-11-02
5 Seconds of Summer,Youngblood,36,10536296,gloabl,2018-10-26--2018-11-02
Khalid,Suncity (feat. Empress Of),37,10524841,gloabl,2018-10-26--2018-11-02
Nio Garcia,Te Boté - Remix,38,10460502,gloabl,2018-10-26--2018-11-02
Silk City,Electricity (with Dua Lipa),39,10440028,gloabl,2018-10-26--2018-11-02
6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),40,10414901,gloabl,2018-10-26--2018-11-02
Future,Fine China,41,10097601,gloabl,2018-10-26--2018-11-02
Post Malone,rockstar (feat. 21 Savage),42,9976244,gloabl,2018-10-26--2018-11-02
Bazzi,Beautiful (feat. Camila Cabello),43,9896201,gloabl,2018-10-26--2018-11-02
Panic! At The Disco,High Hopes,44,9841231,gloabl,2018-10-26--2018-11-02
Anuel Aa,Quiere Beber,45,9739397,gloabl,2018-10-26--2018-11-02
Cardi B,Money,46,9714415,gloabl,2018-10-26--2018-11-02
Becky G,Cuando Te Besé,47,9644323,gloabl,2018-10-26--2018-11-02
Drake,Nonstop,48,9643779,gloabl,2018-10-26--2018-11-02
The Chainsmokers,This Feeling (feat. Kelsea Ballerini),49,9623142,gloabl,2018-10-26--2018-11-02
Lady Gaga,Always Remember Us This Way,50,9566570,gloabl,2018-10-26--2018-11-02
XXXTENTACION,Jocelyn Flores,51,9521230,gloabl,2018-10-26--2018-11-02
Steve Aoki,Waste It On Me (feat. BTS),52,9262210,gloabl,2018-10-26--2018-11-02
Lukas Graham,Love Someone,53,8993351,gloabl,2018-10-26--2018-11-02
Zara Larsson,Ruin My Life,54,8736978,gloabl,2018-10-26--2018-11-02
Jonas Blue,Rise,55,8716768,gloabl,2018-10-26--2018-11-02
Eminem,Lucky You (feat. Joyner Lucas),56,8561620,gloabl,2018-10-26--2018-11-02
Gucci Mane,Wake Up in the Sky,57,8412230,gloabl,2018-10-26--2018-11-02
J Balvin,No Es Justo,58,8402586,gloabl,2018-10-26--2018-11-02
XXXTENTACION,changes,59,8361213,gloabl,2018-10-26--2018-11-02
Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),60,8356398,gloabl,2018-10-26--2018-11-02
Loud Luxury,Body (feat. brando),61,8301558,gloabl,2018-10-26--2018-11-02
Calvin Harris,One Kiss (with Dua Lipa),62,8293476,gloabl,2018-10-26--2018-11-02
Drake,God's Plan,63,8232331,gloabl,2018-10-26--2018-11-02
Clean Bandit,Solo (feat. Demi Lovato),64,8185720,gloabl,2018-10-26--2018-11-02
Lil Mosey,Noticed,65,8168865,gloabl,2018-10-26--2018-11-02
George Ezra,Shotgun,66,8117704,gloabl,2018-10-26--2018-11-02
Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)",67,8024694,gloabl,2018-10-26--2018-11-02
Eminem,Venom - Music From The Motion Picture,68,7841820,gloabl,2018-10-26--2018-11-02
Reik,Amigos Con Derechos,69,7746544,gloabl,2018-10-26--2018-11-02
Anne-Marie,2002,70,7652352,gloabl,2018-10-26--2018-11-02
Billie Eilish,lovely (with Khalid),71,7634818,gloabl,2018-10-26--2018-11-02
Maluma,Mala Mía,72,7550515,gloabl,2018-10-26--2018-11-02
Kygo,Happy Now (feat. Sandro Cavazza),73,7457196,gloabl,2018-10-26--2018-11-02
