artist,song,rank,streams,country,week
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",1,40931264,global,2018-10-26--2018-11-02
Bad Bunny,MIA (feat. Drake),2,31028604,global,2018-10-26--2018-11-02
XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),3,26157297,global,2018-10-26--2018-11-02
Marshmello,Happier,4,25798861,global,2018-10-26--2018-11-02
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,5,25456872,global,2018-10-26--2018-11-02
Lady Gaga,Shallow,6,23829692,global,2018-10-26--2018-11-02
Kodak Black,ZEZE (feat. Travis Scott & Offset),7,22545638,global,2018-10-26--2018-11-02
Halsey,Without Me,8,21343581,global,2018-10-26--2018-11-02
Travis Scott,SICKO MODE,9,19785693,global,2018-10-26--2018-11-02
Khalid,Better,10,18545621,global,2018-10-26--2018-11-02
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",1,40096470,global,2018-10-19--2018-10-26
Bad Bunny,MIA (feat. Drake),2,33790813,global,2018-10-19--2018-10-26
Marshmello,Happier,3,26397899,global,2018-10-19--2018-10-26
Kodak Black,ZEZE (feat. Travis Scott & Offset),4,25675014,global,2018-10-19--2018-10-26
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,5,25233843,global,2018-10-19--2018-10-26
Lady Gaga,Shallow,6,24206277,global,2018-10-19--2018-10-26
Khalid,Better,7,21831365,global,2018-10-19--2018-10-26
Halsey,Without Me,8,21400500,global,2018-10-19--2018-10-26
Travis Scott,SICKO MODE,9,18768708,global,2018-10-19--2018-10-26
Calvin Harris,Promises (with Sam Smith),10,17939622,global,2018-10-19--2018-10-26
Bad Bunny,MIA (feat. Drake),1,39639615,global,2018-10-12--2018-10-19
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2,38729117,global,2018-10-12--2018-10-19
Kodak Black,ZEZE (feat. Travis Scott & Offset),3,29095302,global,2018-10-12--2018-10-19
Marshmello,Happier,4,27470502,global,2018-10-12--2018-10-19
Lady Gaga,Shallow,5,21925660,global,2018-10-12--2018-10-19
Kanye West,I Love It (& Lil Pump),6,20929232,global,2018-10-12--2018-10-19
Calvin Harris,Promises (with Sam Smith),7,19883968,global,2018-10-12--2018-10-19
benny blanco,Eastside (with Halsey & Khalid),8,19782407,global,2018-10-12--2018-10-19
Lil Peep,Falling Down,9,19281449,global,2018-10-12--2018-10-19
Dynoro,In My Mind,10,19020601,global,2018-10-12--2018-10-19
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",1,33141182,global,2018-10-05--2018-10-12
Marshmello,Happier,2,28685390,global,2018-10-05--2018-10-12
Kanye West,I Love It (& Lil Pump),3,25451940,global,2018-10-05--2018-10-12
Lil Peep,Falling Down,4,22273259,global,2018-10-05--2018-10-12
Calvin Harris,Promises (with Sam Smith),5,21148561,global,2018-10-05--2018-10-12
